City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Saint-Philippe,RE,80.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
4,Yulara,AU,78.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
7,Cartagena,CO,76.62,clear sky,10.3997,-75.5144,Hotel Colombia Real - Cartagena
13,Nabire,ID,78.91,moderate rain,-3.3667,135.4833,Hotel Nusantara Nabire
16,Srandakan,ID,77.31,overcast clouds,-7.9386,110.2506,Puri Brata
17,Alofi,NU,76.89,light rain,-19.0595,-169.9187,Taloa Heights
27,Georgetown,MY,78.75,scattered clouds,5.4112,100.3354,Cititel Penang
28,Quatre Cocos,MU,84.31,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
31,Tarakan,ID,80.1,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
32,Tautira,PF,78.82,light rain,-17.7333,-149.15,Pension Oaoa
40,Bengkulu,ID,79.63,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
41,Eydhafushi,MV,80.64,overcast clouds,5.1033,73.0708,Soneva Fushi
42,Tahta,EG,86.11,clear sky,26.7693,31.5021,مصطفي عساف
45,Lobito,AO,76.06,light rain,-12.3481,13.5456,Casa Rosa Hotel Residence
47,Presidente Epitacio,BR,84.51,clear sky,-21.7633,-52.1156,Hotel Itaverá
53,Rikitea,PF,76.46,light rain,-23.1203,-134.9692,People ThankYou
54,Nizwa,OM,86.04,clear sky,22.9333,57.5333,Orient Apartments
57,Sadao,TH,76.53,moderate rain,6.6388,100.4234,Banana Resort Sadao
65,Meulaboh,ID,76.1,overcast clouds,4.1363,96.1285,Kost Pria
67,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
76,Luanda,AO,86.0,scattered clouds,-8.8368,13.2343,Hotel Fórum
79,Auki,SB,77.65,overcast clouds,-8.7676,160.7034,Auki Motel
80,Butaritari,KI,81.46,broken clouds,3.0707,172.7902,Isles Sunset Lodge
82,Kencong,ID,76.23,moderate rain,-8.2833,113.3667,GUBUK SUGIANTO
87,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
89,Atuona,PF,77.95,scattered clouds,-9.8,-139.0333,Villa Enata
91,Daru,PG,81.14,broken clouds,-9.0763,143.2092,Daru Lodge
92,Dhidhdhoo,MV,80.51,moderate rain,6.8833,73.1,Dhidhoo beach
94,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
95,Port Alfred,ZA,77.95,scattered clouds,-33.5906,26.891,The Halyards Hotel
97,Mount Isa,AU,85.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
99,Pemba,MZ,81.21,overcast clouds,-12.974,40.5178,Guesthouse Samotina
100,Namatanai,PG,80.73,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
103,Boyolangu,ID,77.11,light rain,-8.1181,111.8935,Yos ega cv
105,Mahajanga,MG,87.82,light rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
106,Odweyne,SO,83.12,clear sky,9.4092,45.064,Eng Hiirey House
110,Chimoio,MZ,78.66,broken clouds,-19.1164,33.4833,Predio Livraria Ahmed
121,Carutapera,BR,85.1,scattered clouds,-1.195,-46.02,Lidera
122,Mimongo,GA,88.84,overcast clouds,-1.6195,11.6068,
132,Bilma,NE,89.85,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
133,Harper,LR,84.04,light rain,4.375,-7.7169,Screensaver
136,East London,ZA,77.94,clear sky,-33.0153,27.9116,Tu Casa
139,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
140,Palauig,PH,80.67,overcast clouds,15.435,119.9045,Alperi Botique Resort
141,Cayenne,GF,80.64,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
151,Chinchani,IN,81.75,broken clouds,19.8667,72.7,Vasantshrushti Farm
161,Catuday,PH,79.14,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
164,Fonte Boa,BR,78.87,overcast clouds,-2.4959,-66.2662,
167,San Andres,CO,80.96,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
168,Isiro,CD,87.22,overcast clouds,2.7739,27.616,Guest House Hewa Bora
169,Coxim,BR,86.4,few clouds,-18.5067,-54.76,Hotel Avenida
171,Sur,OM,80.94,clear sky,22.5667,59.5289,Sur Plaza Hotel
172,Uribia,CO,78.46,broken clouds,11.7139,-72.266,Hotel Uribia
174,Puerto Escondido,MX,76.87,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
178,Mana,GF,81.75,scattered clouds,5.6592,-53.7767,LE SAMANA
179,Port Blair,IN,81.66,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
180,Bonfim,BR,80.8,overcast clouds,3.0833,-59.95,
181,Kutum,SD,84.69,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
184,Yarada,IN,80.92,haze,17.65,83.2667,Vishranti
186,San Policarpo,PH,81.23,overcast clouds,12.1791,125.5072,Agapita M. Nicart
190,Soyo,AO,86.05,light rain,-6.1349,12.3689,Hotel Mpampa
191,Maragogi,BR,84.9,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
199,Esperance,AU,82.24,broken clouds,-33.8667,121.9,Hospitality Esperance
207,Banda Aceh,ID,77.94,overcast clouds,5.5577,95.3222,Sulthan Hotel International
209,Kurud,IN,80.58,broken clouds,20.8322,81.7214,HOTEL DEWANGAN
216,Faanui,PF,80.64,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
227,Lorengau,PG,81.63,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
228,Kununurra,AU,87.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
229,Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
240,Mahebourg,MU,84.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
241,Kavieng,PG,82.78,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
242,Mahanje,TZ,82.87,broken clouds,-9.9333,35.3333,
245,Rio De Janeiro,BR,75.15,broken clouds,-22.9028,-43.2075,Hotel Málaga
247,Sao Filipe,CV,77.09,overcast clouds,14.8961,-24.4956,Hotel Xaguate
248,Carnarvon,AU,82.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
249,Pathein,MM,77.2,few clouds,16.7833,94.7333,New Pammawaddy Hotel
250,Mucurapo,TT,77.05,broken clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
257,Tual,ID,84.78,broken clouds,-5.6667,132.75,Grand Vilia Hotel
262,Laranjeiras Do Sul,BR,75.0,moderate rain,-25.4078,-52.4161,Hotel Palmeiras
263,Salalah,OM,83.62,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
267,Kilindoni,TZ,81.52,light rain,-7.9139,39.6668,Bustani B&B
275,Tukrah,LY,82.09,overcast clouds,32.5341,20.5791,Lagrota restaurant
276,Codajas,BR,76.41,overcast clouds,-3.8367,-62.0569,Atlântic Hotel
280,Brokopondo,SR,78.58,scattered clouds,4.75,-55.1667,Matu Island
285,Balabac,PH,82.58,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
289,Zamboanguita,PH,80.89,broken clouds,9.1025,123.1996,Thalatta Dive Resort
291,Bodden Town,KY,75.2,few clouds,19.2833,-81.25,Will T Place
294,Davila,PH,82.38,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
295,Port-Gentil,GA,84.16,light rain,-0.7193,8.7815,Fengshui Residence
296,Ugoofaaru,MV,79.68,moderate rain,5.6667,73.0,Ungoofaaru Inn
297,Fare,PF,79.83,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
306,Labrea,BR,75.9,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
307,Jalu,LY,88.09,overcast clouds,29.0331,21.5482,صاحبة الفخامة
308,Marovoay,MG,87.94,light rain,-16.1,46.6333,Hôtel les Oliviers Marovoay
310,Amahai,ID,80.19,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
311,Mitsamiouli,KM,84.49,light rain,-11.3847,43.2844,Foyer ADM
316,Hithadhoo,MV,82.0,overcast clouds,-0.6,73.0833,Scoop Guest House
321,Chabahar,IR,79.03,clear sky,25.2919,60.643,هتل گدروشیا
322,Labuhan,ID,79.21,moderate rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
326,Dingle,PH,76.41,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
327,Bambous Virieux,MU,84.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
328,Souillac,MU,84.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
329,Tiarei,PF,78.82,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
331,Kieta,PG,80.35,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
333,Fort Abbas,PK,76.8,clear sky,29.1925,72.8536,AsAd's House
336,Hambantota,LK,80.31,overcast clouds,6.1241,81.1185,Bungalow 63
345,Bom Jesus Do Itabapoana,BR,80.04,clear sky,-21.1339,-41.6797,Pitucão Hotel e Restaurante
350,Cabedelo,BR,83.07,broken clouds,-6.9811,-34.8339,Hotel Pigalle
355,Jardim,BR,87.46,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
356,Manacapuru,BR,77.58,overcast clouds,-3.2997,-60.6206,Novo Hotel
357,Touros,BR,85.1,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
360,Olinda,BR,83.93,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
361,Porto Velho,BR,75.25,mist,-8.7619,-63.9039,Hotel Central
362,Chongwe,ZM,88.7,broken clouds,-15.3292,28.682,Grakas Lodge
